Alpha	CC	SR
0.01	2.10108641975	2.12868999236
0.05	2.10188641975	2.12948999236
0.1	2.10688641975	2.18388999236
0.3	2.23988641975	2.79108999236
0.5	2.42768641975	3.15328999236
0.7	2.58568641975	3.32828999236
0.9	2.68768641975	3.41728999236
0.99	2.69948641975	3.43708999236
traditional	1.91590666315	1.91995126439
