Alpha	CC	SR
0.01	0.365652089887	0.79451093171
0.05	0.364763678752	0.794766347445
0.1	0.360968900737	0.789209732288
0.3	0.339943405528	0.729182833206
0.5	0.325163447768	0.695608270916
0.7	0.312140673492	0.675768957474
0.9	0.302847559384	0.671040681209
0.99	0.301079884008	0.66766543334
traditional	0.368381126004	0.803873466046
