Alpha	CC	SR
0.01	0.00698680722288	0.0621193031732
0.05	0.00611724607292	0.0493394531104
0.1	0.00512620785573	0.0486014212848
0.3	0.00654833045265	0.0258990751248
0.5	0.00390352230003	0.0126718743052
0.7	0.00334697414752	0.00727762391374
0.9	0.00232093511422	0.00795237714124
0.99	0.00218988858816	0.0120189762435
traditional	0.00164743589744	0.0523759408457
