Alpha	CC	\SR
0.01	0.379476954245	0.807033101745
0.05	0.37713366387	0.807100698241
0.1	0.369511216307	0.807295396316
0.3	0.34073715061	0.771239932894
0.5	0.332909152509	0.751554493427
0.7	0.32348909691	0.744965580209
0.9	0.318248860608	0.737600111654
0.99	0.316944813968	0.732393071418
traditional	0.368381126004	0.803873466046
